Datasets,NickName,Score,In OpenVLA?,FInish Modify,need modify,other view,fully download,whether FPS is proper?,AI/human,finish,#Trajectories,fully upload to AWS,verison,download link,Language instructions,In OXE?,How to modify it to align with our overall objectives?,Tasks / Categories,Comments,#Scenes,Avg. frames/trajectory,Control frequency,# Total Cams,# Depth Cams,# First-person Cams,# Third-person Cams,Robot type,Robot Morphology,Tactile sensor?,Objects,Full data structure,Action space,whether annotation,Venue,How to change the raw data to RDLS format data,How is the dataset collected?,Robot ,,Comments,Real or Not?,Granularity,Pixel Quality,Size of Dataset
AgiBot World,,,FALSE,,,,,,,,"1,003,672 (#slices)",,,,Natural,❌,"1. There are some dirty tasks. 
",Detailed task list,"1. AgiBot World Beta: complete dataset featuring 1,003,672 trajectories (~43.8T)
AgiBot World Alpha: curated subset of Beta, containing 92,214 trajectories (~8.5T)

2. Official Visualizations

3. Faliure recovery: Retain them and manually annotate each with corresponding failure reasons and timestamps",106,"1,000",30,4,1,2,2,AgiBot-G1,Humanoid,"(Gelsight video)
Some of them","1. Daily necessities (e.g. wardrobe, dishwasher, fridge, toaster, washing machine), food, clothing, etc.

2. Restaurant - Food, Tableware, Kitchenware, etc.

3. Daily necessities (e.g., box, trash bag, toothpick, smart charger, rice cakes), Food, etc.

4. Daily necessities (trash, tissues, bottled water, microwave), Office supplies (whiteboard, eraser, remote controller), etc.

5. Snacks, Personal care products, etc.",Detailed Explanation ,,,IROS 2025,"Official processing codes are not released

Agibot to Lerobot",,"AgiBot G1

Platform: dual 7-DoF arms, a mobile chassis, and an adjustable waist
End-effectors: a standard gripper (visuo-tactile sensors) or a 6-DoF dexterous hand
Cameras: 1 RGB-D camera and 3 fisheye cameras for the front view, RGB-D or fisheye cameras mounted on each end-effector, and 2 fisheye cameras positioned at the rear.",,,,,,
RH20T,RH20T,3,FALSE,,,,,,,,"110, 000",,,,eg: pull out a napkin / pick up a block on the left and move it to the right,❌,,see paper appendix,,50+,,10,9-12,1,1-2,8-10,Flexiv/UR5/Franka/Kuka,Stationary Single-Arm Manipulator,,,"{
  ""RH20T"": {
    ""RH20T_cfg1"": {
      ""calib"": {
        ""gripper_pose.npy"": ""Gripper Cartesian pose during calibration"",
        ""intrinsics_[cam_id].npy"": ""Camera intrinsic matrix"",
        ""extrinsics_[cam_id].npy"": ""Camera extrinsic matrix (Aruco marker pose in camera frame)""
      },
      ""task_xxxx_user_xxxx_scene_xxxx_cfg_xxxx"": {
        ""metadata.json"": ""Robot manipulation metadata (scene timestamp, task completion rating, calibration quality)"",
        ""cam_[serial_number]"": {
          ""color.mp4"": ""RGB video stream"" (1280x720x3),
          ""depth.mp4 (optional)"": ""Depth video stream""(1280x720),
          ""timestamps.npy"": ""Timestamps for each frame""
        },
        ""transformed"": {
          ""tcp.npy"": ""End-effector Cartesian pose in camera frame (7D: xyz+quat)"",
          ""tcp_base.npy"": ""End-effector Cartesian pose in robot base frame (7D: xyz+quat)"",
          ""joint.npy"": ""Robot joint angles"",
          ""gripper.npy"": ""Gripper command and info (0–110 mm opening width)"",
          ""force_torque.npy"": ""6-DoF force/torque in camera frame (zeroed and raw values)"",
          ""force_torque_base.npy"": ""6-DoF force/torque in base frame (zeroed and raw values)"",
          ""high_freq_data.npy"": ""High frequency sensor data (timestamp, tcp, force/torque)""
        },
        ""audio_mixed"": {}
      },
      ""task_xxxx_user_xxxx_scene_xxxx_cfg_xxxx_human"": {
        ""metadata.json"": ""Human demonstration metadata (scene start/finish timestamps, calibration quality)"",
        ""cam_[serial_number]"": {
          ""color.mp4"": ""RGB video stream"",
          ""depth.mp4 (optional)"": ""Depth video stream"",
          ""timestamps.npy"": ""Timestamps for each frame""
        },
        ""audio_mixed"": {}
      }
    },
    ""RH20T_cfg2"": { ""..."": ""same structure as RH20T_cfg1"" },
    ""RH20T_cfg3"": { ""..."": ""same structure as RH20T_cfg1"" },
    ""..."": {},
    ""RH20T_cfg7"": { ""..."": ""same structure as RH20T_cfg1"" }
  }
}",EEF Position,,ICRA2024,,,,,,,,,
DexMimicGen,,,FALSE,,,,,,,,7500,,,,,❌,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraspNet,,3,,,,,,,,,190,,,,,✅,,"Object Grasping, 6D Pose Estimation",,190,512,unspecified,2,2(Intel RealSense 435 and Kinect Azure),1,1,Flexiv Rizon arm,Single arm (serial robot arm),,,,EEF Position(相对位移+方向),,,,,,,,Real,3,"1280*720, very distinct","144.4G+(rough calculation)
"
unstated,,3,,,,,,,,,around 1200,,,,,❌,,"1个为主, occluded grasping,有变式（不同物体重量，位置，摩擦etc.）",,unspecified,unspecified,unspecified,1,1,0,1,Franka Emika Panda arm with 2-finger parallel jaw gripper.,Single arm (stationary 7-DOF arm for table-top manipulation).,,,,EEF Position/pose(相对位移),,,,,,,,Not Real,2,very distinct,unstated
RoboTAP,,3,,,,,,,,,265,,,,,❌,,"~10, including stencil insertion, shape-matching, stacking etc..",,265,271.9,10,1,0,1-2,0,Franka Panda Emika with 2f-85 Robotiq gripper and FT 300 Force Torque Sensor,Single arm,,,,EEF Position,,,,,,,,Real,2,"DeepMind robot video, quite distinct","zip file，265short videos+annotations，so around several G
"
OSU PRMTF,,3,,,,,,,,,1020,,,,,❌,,"4 main objects（rectangular prism, triangular prism, cylinder, cone），变式包括top/side抓取类型和姿势偏差",,1020,unspecified,unspecified,3,1,1,2,Kinova Gen3 robot arm with Robotiq 2F-85 Adaptive Gripper,Single arm,,,,EEF Position + Velocity,,,,,,,,Real,3,"Standard robot cameras, quite distinct","1,020experimental videos and status data, approximately several G"
RAGNet,,3,,,,,,,,,"mainly static images, e.g. RLBench sim has 25 episodes/task ",,,,,❌,,180 affordance categories,,unspecified,Not applicable (primarily static images),unspecified,2,unspecified,1,1,Not specified (dataset covers multiple robot domains without detailing specific hardware),Single arm,,,,EEF Position,,,,,,,,"Mixed (mainly real, few virtual (RLBench))",3,unstated but quite distinct,273k images + annotations，around 10G?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Score,Real or Not?,,Granularity,# of Images,# of Angle of View,# of Cameras, Fixed/Moving + 1/3 person perspective,Pixel Quality,# of Dimensions of Actions,# of Trajectory,Position or Velocity?,# of Tasks,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Real,,3(提供grasp poses的密集标注，包括6DoF姿势、置信分数和摩擦系数etc.，真的很细了),"97,280","190 scenes, each 256 viewpoints",2 popular RGBD cameras (Kinect Azure and RealSense D435),摄像头固定在机器人臂上沿固定轨迹移动; 第三人称,"1280*720, very distinct",6维（3维平移 + 3维旋转）+1维gripper宽度（总7维）,190,end effector position(相对位移+方向),"2(Object Grasping, 6D Pose Estimation)","144.4G+(rough calculation)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Not Real,,2,unstated,1(overhead/top-down),1 (Kinect v2),"fixed; 3
",very distinct,"高级代理-离散（像素坐标+3个primitives+16个旋转）；低级代理-3维（d, z, θ_y，表示位移和旋转adjustment）",约1200 episodes,end effector position/pose(相对位移),"1个为主, occluded grasping,有变式（不同物体重量，位置，摩擦etc.）",unstated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Real,,2,265,1-2,1(fixed external or wrist-mounted-moving with arm）,Fixed on the camera; 3,"DeepMind机器人视频, 还是quite distinct"," 4维（x, y, z, rz，denoting end-effector的translation和绕z轴rotate）",265,end effector position,"~10+，包括stencil insertion, shape-matching, stacking etc..","zip文件，265个短视频+标注，so around个位数G
",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,Real,,3,"总1,020个试验，每个~1分钟视频","3个视角/摄像头：顶部RGB(fixed, third-person overhead), 侧面RGB(fixed, third-person side), 腕上RGBD(moving with arm, first-person egocentric)",3,stated in # of Angle of View,"Standard robot cameras, quite distinct",end executer姿势6维(3平移 + 3旋转)+gripper1维（共7维）,1020,位置和速度,"4 main objects（rectangular prism, triangular prism, cylinder, cone），变式包括top/side抓取类型和姿势偏差","1,020个试验的视频和状态数据, approximately several G",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,"Mixed (mainly real, few virtual (RLBench))",,3,273k,5~6视角多样,2(RGB-D如Intel RealSense),Depending on the source datasets,unstated but quite distinct,"grasping pose为3D pose（3维位置x,y,z + 3维orientation，共6维）","mainly static images, RLBench sim has 25 episodes/task tho（e.g., open drawer）","position, no velocity",180 affordance categories,273k images + annotations，around 10G?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
